metric_id,ticket_id,first_resolution_time,full_resolution_time,agent_work_time,requester_wait_time,reply_time,group_stations,assignee_stations,reopens,replies,assignee_updated_at,requester_updated_at,status_updated_at,initially_assigned_at,assigned_at,solved_at
21,21,22,336,17,336,21,1,2,0,4,2024-10-15 22:08:54,2024-10-15 12:43:50,2024-10-16 00:00:00,2024-10-02 02:23:35,2024-10-02 18:51:03,2024-10-16 00:00:00
22,22,24,120,47,120,24,1,2,0,4,2023-07-07 22:58:34,2023-07-07 21:32:02,2023-07-08 00:00:00,2023-07-03 03:33:01,2023-07-03 22:58:20,2023-07-08 00:00:00
23,23,3,24,60,24,1,1,1,0,5,2021-08-15 22:22:43,2021-08-15 15:14:30,2021-08-16 00:00:00,2021-08-15 00:28:41,2021-08-15 00:28:41,2021-08-16 00:00:00
24,24,12,336,46,336,11,1,2,2,5,2023-07-27 23:19:49,2023-07-27 16:14:46,2023-07-28 00:00:00,2023-07-14 02:21:58,2023-07-14 09:52:56,2023-07-28 00:00:00
25,25,25,216,79,216,22,3,2,0,4,2023-10-11 22:17:57,2023-10-03 00:34:48,2023-10-12 00:00:00,2023-10-03 00:25:10,2023-10-03 20:32:12,2023-10-12 00:00:00
26,26,17,120,42,120,11,1,2,0,2,2023-09-15 22:47:47,2023-09-15 19:34:04,2023-09-16 00:00:00,2023-09-11 03:08:02,2023-09-11 10:42:33,2023-09-16 00:00:00
27,27,21,168,62,168,19,3,2,0,8,2024-10-17 22:31:19,2024-10-17 19:48:25,2024-10-18 00:00:00,2024-10-11 00:42:43,2024-10-11 18:28:21,2024-10-18 00:00:00
28,28,19,192,107,192,13,1,2,1,7,2024-02-13 23:11:27,2024-02-13 15:40:51,2024-02-14 00:00:00,2024-02-06 00:57:25,2024-02-06 11:52:24,2024-02-14 00:00:00
29,29,7,120,43,120,3,1,1,0,3,2024-08-10 23:35:11,2024-08-10 14:43:16,2024-08-11 00:00:00,2024-08-06 02:28:15,2024-08-06 02:28:15,2024-08-11 00:00:00
30,30,0,0,51,5088,23,1,2,0,3,2024-11-17 22:42:46,2024-07-06 12:02:46,2024-11-05 19:55:22,2024-04-20 03:31:22,2024-04-20 23:08:26,
31,31,4,0,16,11928,4,1,1,0,1,2024-11-17 23:06:31,2024-10-20 00:00:32,2024-02-24 17:26:16,2023-07-10 02:33:25,2023-07-10 02:33:25,
32,32,8,144,108,144,2,1,1,0,6,2024-06-16 22:35:59,2024-06-16 20:31:07,2024-06-17 00:00:00,2024-06-11 01:52:39,2024-06-11 01:52:39,2024-06-17 00:00:00
33,33,2,96,62,96,3,1,1,0,3,2024-08-23 22:15:54,2024-08-23 12:18:02,2024-08-24 00:00:00,2024-08-20 01:40:53,2024-08-20 01:40:53,2024-08-24 00:00:00
34,34,1,0,53,9336,2,3,1,0,2,2024-11-14 19:10:56,2024-08-25 19:42:43,2024-10-08 11:22:53,2023-10-23 00:49:12,2023-10-23 00:49:12,
35,35,6,48,39,48,5,1,1,0,3,2023-02-18 23:17:30,2023-02-18 14:34:45,2023-02-19 00:00:00,2023-02-17 02:54:05,2023-02-17 02:54:05,2023-02-19 00:00:00
36,36,5,0,25,168,4,1,1,0,3,2024-11-18 21:25:32,2024-11-13 01:26:36,2024-11-17 13:56:26,2024-11-12 02:08:54,2024-11-12 02:08:54,
37,37,9,24,52,24,3,2,1,0,3,2023-09-11 23:25:24,2023-09-11 22:31:37,2023-09-12 00:00:00,2023-09-11 01:30:06,2023-09-11 01:30:06,2023-09-12 00:00:00
38,38,3,192,87,192,4,1,1,0,2,2024-06-29 23:36:31,2024-06-29 22:32:40,2024-06-30 00:00:00,2024-06-22 01:54:15,2024-06-22 01:54:15,2024-06-30 00:00:00
39,39,27,0,29,1368,27,1,2,0,3,2024-11-17 21:17:32,2024-11-12 03:52:14,2024-10-01 15:19:57,2024-09-22 03:19:13,2024-09-23 01:10:10,
40,40,3,240,20,240,2,2,1,0,4,2024-11-14 22:55:03,2024-11-14 15:37:24,2024-11-15 00:00:00,2024-11-05 02:07:37,2024-11-05 02:07:37,2024-11-15 00:00:00
41,41,6,48,43,48,6,1,1,0,2,2024-11-13 22:04:29,2024-11-12 00:31:18,2024-11-14 00:00:00,2024-11-12 03:46:20,2024-11-12 03:46:20,2024-11-14 00:00:00
42,42,5,48,70,48,5,1,1,0,2,2023-03-08 22:30:42,2023-03-08 17:01:48,2023-03-09 00:00:00,2023-03-07 03:58:01,2023-03-07 03:58:01,2023-03-09 00:00:00
43,43,9,192,49,192,5,1,1,0,2,2023-12-14 23:49:59,2023-12-14 12:15:57,2023-12-15 00:00:00,2023-12-07 03:51:02,2023-12-07 03:51:02,2023-12-15 00:00:00
44,44,8,336,103,336,3,1,1,0,6,2023-02-03 23:37:53,2023-01-21 00:06:01,2023-02-04 00:00:00,2023-01-21 03:04:54,2023-01-21 03:04:54,2023-02-04 00:00:00
45,45,3,0,52,312,5,2,1,0,7,2024-11-15 21:31:27,2024-11-03 00:12:08,2024-11-07 16:30:49,2024-11-03 02:31:26,2024-11-03 02:31:26,
46,46,6,0,101,7752,4,1,1,0,8,2024-11-14 18:47:23,2023-12-28 00:27:05,2024-02-07 14:25:02,2023-12-28 02:42:52,2023-12-28 02:42:52,
47,47,3,0,25,19968,1,1,1,0,4,2024-11-18 22:15:10,2023-07-30 19:10:40,2024-09-01 21:53:06,2022-08-10 00:47:30,2022-08-10 00:47:30,
48,48,0,0,16,20016,10,1,2,0,2,2024-11-15 19:09:12,2024-11-09 02:11:11,2023-03-07 06:09:57,2022-08-05 02:12:58,2022-08-05 07:55:32,
49,49,8,336,35,336,5,1,1,0,2,2024-10-23 22:06:40,2024-10-23 21:33:44,2024-10-24 00:00:00,2024-10-10 03:47:27,2024-10-10 03:47:27,2024-10-24 00:00:00
50,50,8,264,45,264,4,2,1,0,5,2024-10-19 22:43:07,2024-10-19 16:54:50,2024-10-20 00:00:00,2024-10-09 01:19:21,2024-10-09 01:19:21,2024-10-20 00:00:00
51,51,7,264,31,264,3,1,1,0,1,2024-10-16 23:50:44,2024-10-16 18:56:09,2024-10-17 00:00:00,2024-10-06 01:44:53,2024-10-06 01:44:53,2024-10-17 00:00:00
52,52,4,192,71,192,3,1,1,0,2,2024-10-28 22:23:45,2024-10-21 00:44:32,2024-10-29 00:00:00,2024-10-21 02:12:56,2024-10-21 02:12:56,2024-10-29 00:00:00
53,53,4,0,47,14,2,1,1,0,2,2024-11-23 08:54:01,2024-11-23 04:06:40,2024-11-23 01:39:59,2024-11-23 00:39:57,2024-11-23 00:39:57,
54,54,3,72,61,72,3,2,1,0,5,2024-09-03 22:45:28,2024-09-03 17:00:18,2024-09-04 00:00:00,2024-09-01 00:19:30,2024-09-01 00:19:30,2024-09-04 00:00:00
55,55,6,288,130,288,4,2,1,0,2,2024-09-19 22:03:03,2024-09-19 18:07:25,2024-09-20 00:00:00,2024-09-08 03:23:16,2024-09-08 03:23:16,2024-09-20 00:00:00
56,56,3,0,28,2208,4,1,1,0,4,2024-11-15 20:23:36,2024-10-05 05:22:15,2024-09-29 07:21:37,2024-08-16 01:35:50,2024-08-16 01:35:50,
57,57,6,0,17,1968,3,1,1,0,1,2024-11-13 18:28:33,2024-11-10 18:08:06,2024-10-23 05:28:31,2024-08-24 03:00:32,2024-08-24 03:00:32,
58,58,4,240,47,240,2,1,1,0,1,2022-05-05 23:51:14,2022-04-26 00:48:57,2022-05-06 00:00:00,2022-04-26 01:23:24,2022-04-26 01:23:24,2022-05-06 00:00:00
59,59,7,288,58,288,1,1,1,0,1,2024-01-16 22:44:00,2024-01-16 21:08:43,2024-01-17 00:00:00,2024-01-05 00:09:39,2024-01-05 00:09:39,2024-01-17 00:00:00
60,60,6,0,50,840,6,1,1,0,5,2024-11-15 23:11:40,2024-10-12 00:06:30,2024-10-24 20:43:40,2024-10-12 03:50:54,2024-10-12 03:50:54,
61,61,8,24,65,24,2,1,1,0,1,2023-11-26 22:47:18,2023-11-26 22:20:07,2023-11-27 00:00:00,2023-11-26 00:38:38,2023-11-26 00:38:38,2023-11-27 00:00:00
62,62,8,240,98,240,3,1,1,0,2,2024-04-21 22:32:58,2024-04-21 19:34:13,2024-04-22 00:00:00,2024-04-12 01:02:18,2024-04-12 01:02:18,2024-04-22 00:00:00
63,63,4,168,26,168,2,1,1,0,4,2024-03-09 23:09:54,2024-03-09 20:33:56,2024-03-10 00:00:00,2024-03-03 01:48:18,2024-03-03 01:48:18,2024-03-10 00:00:00
64,64,5,120,82,120,4,1,1,0,2,2024-09-15 22:38:59,2024-09-11 00:34:44,2024-09-16 00:00:00,2024-09-11 01:48:32,2024-09-11 01:48:32,2024-09-16 00:00:00
65,65,9,0,12,24,8,1,2,0,1,2024-11-12 23:47:33,2024-11-12 23:12:33,2024-11-12 10:42:27,2024-11-12 00:38:56,2024-11-12 06:42:17,
66,66,4,240,24,240,5,1,1,0,3,2023-08-13 22:51:48,2023-08-13 13:14:08,2023-08-14 00:00:00,2023-08-04 02:43:06,2023-08-04 02:43:06,2023-08-14 00:00:00
67,67,5,288,40,288,3,1,1,0,2,2024-06-30 22:53:31,2024-06-30 13:51:38,2024-07-01 00:00:00,2024-06-19 02:03:27,2024-06-19 02:03:27,2024-07-01 00:00:00
68,68,8,48,41,48,2,1,1,0,2,2024-09-05 23:23:56,2024-09-05 16:29:09,2024-09-06 00:00:00,2024-09-04 00:36:10,2024-09-04 00:36:10,2024-09-06 00:00:00
69,69,5,0,22,936,4,2,1,0,4,2024-11-15 22:22:29,2024-10-27 02:57:28,2024-11-14 03:28:56,2024-10-08 01:59:59,2024-10-08 01:59:59,
70,70,9,24,29,24,3,1,1,0,1,2024-10-17 23:28:58,2024-10-17 16:37:30,2024-10-18 00:00:00,2024-10-17 01:48:43,2024-10-17 01:48:43,2024-10-18 00:00:00
71,71,8,264,40,264,3,2,1,0,5,2024-11-15 22:32:51,2024-11-15 22:23:35,2024-11-16 00:00:00,2024-11-05 00:21:20,2024-11-05 00:21:20,2024-11-16 00:00:00
72,72,5,72,63,72,5,1,1,0,4,2024-01-24 22:59:04,2024-01-24 14:09:00,2024-01-25 00:00:00,2024-01-22 03:05:03,2024-01-22 03:05:03,2024-01-25 00:00:00
73,73,4,72,53,72,3,1,1,0,3,2024-09-16 22:35:24,2024-09-14 00:39:29,2024-09-17 00:00:00,2024-09-14 00:55:19,2024-09-14 00:55:19,2024-09-17 00:00:00
74,74,6,48,71,48,6,1,1,0,2,2024-09-15 23:52:35,2024-09-14 00:59:40,2024-09-16 00:00:00,2024-09-14 03:20:47,2024-09-14 03:20:47,2024-09-16 00:00:00
75,75,1,144,19,144,3,1,1,0,4,2024-10-01 22:24:37,2024-10-01 18:43:58,2024-10-02 00:00:00,2024-09-26 00:30:29,2024-09-26 00:30:29,2024-10-02 00:00:00
76,76,6,240,32,240,5,1,1,0,5,2024-05-26 23:09:45,2024-05-26 22:54:36,2024-05-27 00:00:00,2024-05-17 03:49:39,2024-05-17 03:49:39,2024-05-27 00:00:00
77,77,23,0,82,936,21,1,2,0,6,2024-11-18 20:38:34,2024-11-09 08:12:39,2024-10-11 08:36:40,2024-10-11 03:46:13,2024-10-11 19:47:24,
78,78,2,0,52,19848,2,2,1,0,4,2024-11-13 18:28:21,2023-01-01 20:34:40,2023-09-09 07:38:56,2022-08-10 00:31:50,2022-08-10 00:31:50,
79,79,3,0,51,1,1,1,1,0,2,2024-11-19 00:05:34,2024-11-19 00:00:00,2024-11-19 00:13:38,2024-11-19 00:05:34,2024-11-19 00:05:34,
80,80,7,144,33,144,5,1,1,0,2,2024-03-26 23:45:51,2024-03-26 21:43:57,2024-03-27 00:00:00,2024-03-21 03:27:53,2024-03-21 03:27:53,2024-03-27 00:00:00
81,81,5,312,104,312,5,1,1,0,6,2024-01-08 23:22:52,2024-01-08 19:17:35,2024-01-09 00:00:00,2023-12-27 03:40:25,2023-12-27 03:40:25,2024-01-09 00:00:00
82,82,3,0,19,240,4,1,1,0,3,2024-11-15 23:02:05,2024-11-10 19:18:19,2024-11-13 04:41:03,2024-11-06 02:29:35,2024-11-06 02:29:35,
83,83,17,312,46,312,16,1,2,0,2,2023-12-21 23:48:10,2023-12-21 16:56:15,2023-12-22 00:00:00,2023-12-09 01:35:59,2023-12-09 15:12:08,2023-12-22 00:00:00
84,84,26,240,95,240,25,1,2,0,8,2024-05-07 22:52:00,2024-05-07 20:10:08,2024-05-08 00:00:00,2024-04-28 01:40:24,2024-04-29 00:09:31,2024-05-08 00:00:00
85,85,4,216,45,216,2,1,1,0,4,2023-11-26 23:15:41,2023-11-26 17:12:27,2023-11-27 00:00:00,2023-11-18 00:44:36,2023-11-18 00:44:36,2023-11-27 00:00:00
86,86,4,0,15,15552,4,1,1,0,2,2024-11-17 23:08:47,2023-12-11 00:44:58,2023-03-02 16:54:31,2023-02-09 02:27:17,2023-02-09 02:27:17,
87,87,4,0,52,552,1,1,1,0,2,2024-11-19 19:02:22,2024-11-03 23:39:51,2024-11-09 16:35:55,2024-10-28 00:24:24,2024-10-28 00:24:24,
88,88,2,0,33,1008,2,1,1,0,1,2024-11-15 18:48:42,2024-10-15 14:42:23,2024-11-09 02:40:09,2024-10-05 01:08:46,2024-10-05 01:08:46,
89,89,6,72,66,72,1,1,1,0,3,2022-09-20 23:11:10,2022-09-20 22:20:07,2022-09-21 00:00:00,2022-09-18 00:40:51,2022-09-18 00:40:51,2022-09-21 00:00:00
90,90,6,240,22,240,4,3,1,1,9,2023-03-19 23:01:26,2023-03-19 20:18:42,2023-03-20 00:00:00,2023-03-10 02:03:00,2023-03-10 02:03:00,2023-03-20 00:00:00
91,91,3,0,43,24,3,1,1,0,4,2025-01-19 21:10:11,2025-01-19 07:17:31,2025-01-19 03:33:41,2025-01-19 00:44:44,2025-01-19 00:44:44,
92,92,9,120,50,120,4,1,1,0,3,2023-07-08 23:02:01,2023-07-08 17:08:05,2023-07-09 00:00:00,2023-07-04 03:47:52,2023-07-04 03:47:52,2023-07-09 00:00:00
93,93,0,0,23,24,2,2,1,0,2,2025-01-19 20:54:47,2025-01-19 20:21:37,2025-01-19 12:39:41,2025-01-19 01:29:51,2025-01-19 01:29:51,
94,94,8,312,55,312,4,1,1,1,4,2024-03-30 23:33:14,2024-03-18 00:43:57,2024-03-31 00:00:00,2024-03-18 01:31:33,2024-03-18 01:31:33,2024-03-31 00:00:00
95,95,11,72,38,72,5,1,1,0,3,2024-01-19 22:19:49,2024-01-19 19:54:12,2024-01-20 00:00:00,2024-01-17 03:22:23,2024-01-17 03:22:23,2024-01-20 00:00:00
96,96,4,0,46,7080,4,1,1,0,6,2024-11-13 21:32:24,2024-03-12 18:32:05,2024-04-09 12:26:07,2024-01-24 01:34:06,2024-01-24 01:34:06,
97,97,3,0,54,240,2,1,1,0,6,2024-11-17 22:16:53,2024-11-17 19:18:43,2024-11-13 02:18:19,2024-11-08 01:08:20,2024-11-08 01:08:20,
98,98,9,72,128,72,4,2,1,1,8,2024-04-12 23:14:34,2024-04-10 00:54:03,2024-04-13 00:00:00,2024-04-10 01:56:11,2024-04-10 01:56:11,2024-04-13 00:00:00
99,99,2,0,18,13,3,2,1,0,3,2025-01-19 09:12:47,2025-01-19 00:51:36,2025-01-19 04:48:16,2025-01-19 01:06:17,2025-01-19 01:06:17,
100,100,23,120,116,120,23,1,2,0,4,2024-02-01 23:31:30,2024-02-01 21:51:16,2024-02-02 00:00:00,2024-01-28 03:42:39,2024-01-28 22:16:13,2024-02-02 00:00:00
101,101,33,192,56,192,29,1,2,0,3,2024-11-16 22:12:07,2024-11-16 18:35:54,2024-11-17 00:00:00,2024-11-09 03:18:24,2024-11-10 02:14:31,2024-11-17 00:00:00
102,102,7,48,58,48,2,1,1,0,4,2024-02-25 23:44:25,2024-02-24 00:20:05,2024-02-26 00:00:00,2024-02-24 01:08:46,2024-02-24 01:08:46,2024-02-26 00:00:00
103,103,3,0,24,22,3,2,1,0,3,2025-01-19 16:14:36,2025-01-19 06:36:43,2025-01-19 06:40:45,2025-01-19 01:15:16,2025-01-19 01:15:16,
104,104,5,144,44,144,6,2,1,0,1,2024-10-31 23:11:22,2024-10-31 22:44:10,2024-11-01 00:00:00,2024-10-26 03:17:56,2024-10-26 03:17:56,2024-11-01 00:00:00
105,105,5,48,67,48,4,1,1,0,4,2024-05-08 22:04:19,2024-05-08 22:47:53,2024-05-09 00:00:00,2024-05-07 03:32:26,2024-05-07 03:32:26,2024-05-09 00:00:00
106,106,6,24,129,24,3,1,1,0,5,2024-10-15 23:29:55,2024-10-15 18:06:52,2024-10-16 00:00:00,2024-10-15 01:47:58,2024-10-15 01:47:58,2024-10-16 00:00:00
107,107,9,24,30,24,7,1,2,1,5,2020-12-03 22:53:12,2020-12-03 00:50:51,2020-12-04 00:00:00,2020-12-03 01:16:43,2020-12-03 06:05:26,2020-12-04 00:00:00
108,108,7,72,61,72,2,1,1,2,9,2021-09-10 23:19:42,2021-09-10 21:15:54,2021-09-11 00:00:00,2021-09-08 02:01:49,2021-09-08 02:01:49,2021-09-11 00:00:00
109,109,6,48,40,48,5,1,1,0,1,2024-07-11 22:33:24,2024-07-11 19:08:00,2024-07-12 00:00:00,2024-07-10 03:19:47,2024-07-10 03:19:47,2024-07-12 00:00:00
110,110,4,96,50,96,4,1,1,0,3,2024-01-28 23:38:00,2024-01-28 19:04:29,2024-01-29 00:00:00,2024-01-25 02:23:57,2024-01-25 02:23:57,2024-01-29 00:00:00
111,111,6,0,41,23568,4,2,1,0,4,2024-11-16 19:53:09,2023-07-11 16:01:02,2023-11-17 00:01:38,2022-03-11 03:58:53,2022-03-11 03:58:53,
112,112,6,48,17,48,3,1,1,0,2,2024-01-09 23:45:08,2024-01-09 13:35:06,2024-01-10 00:00:00,2024-01-08 01:05:55,2024-01-08 01:05:55,2024-01-10 00:00:00
113,113,4,264,73,264,5,2,2,0,2,2024-03-28 22:15:06,2024-03-28 15:52:58,2024-03-29 00:00:00,2024-03-18 00:40:57,2024-03-18 02:23:39,2024-03-29 00:00:00
114,114,7,144,55,144,4,1,1,1,3,2023-05-16 22:59:27,2023-05-11 00:43:25,2023-05-17 00:00:00,2023-05-11 02:57:55,2023-05-11 02:57:55,2023-05-17 00:00:00
115,115,6,216,53,216,4,1,1,0,5,2021-08-25 22:27:27,2021-08-17 00:35:08,2021-08-26 00:00:00,2021-08-17 02:27:15,2021-08-17 02:27:15,2021-08-26 00:00:00
116,116,23,288,27,288,20,1,2,0,2,2022-05-29 22:20:04,2022-05-29 17:30:40,2022-05-30 00:00:00,2022-05-18 02:09:20,2022-05-18 18:32:51,2022-05-30 00:00:00
117,117,4,264,145,264,4,1,1,0,7,2023-12-29 23:31:09,2023-12-29 16:03:45,2023-12-30 00:00:00,2023-12-19 02:24:18,2023-12-19 02:24:18,2023-12-30 00:00:00
118,118,8,72,27,72,6,1,1,0,2,2023-11-27 22:04:26,2023-11-27 18:53:29,2023-11-28 00:00:00,2023-11-25 03:45:44,2023-11-25 03:45:44,2023-11-28 00:00:00
119,119,9,168,43,168,3,1,1,0,1,2024-02-20 22:28:34,2024-02-14 00:52:30,2024-02-21 00:00:00,2024-02-14 03:24:34,2024-02-14 03:24:34,2024-02-21 00:00:00
120,120,7,264,67,264,4,1,1,1,6,2022-09-22 23:45:54,2022-09-22 20:42:55,2022-09-23 00:00:00,2022-09-12 02:40:09,2022-09-12 02:40:09,2022-09-23 00:00:00
121,121,18,144,70,144,18,1,2,0,6,2023-11-11 22:39:02,2023-11-11 16:46:53,2023-11-12 00:00:00,2023-11-06 01:34:36,2023-11-06 15:24:52,2023-11-12 00:00:00
122,122,2,168,28,168,4,2,1,0,4,2024-02-08 23:17:59,2024-02-08 14:07:08,2024-02-09 00:00:00,2024-02-02 01:30:10,2024-02-02 01:30:10,2024-02-09 00:00:00
123,123,21,0,10,17352,22,1,2,0,3,2024-11-18 20:12:08,2022-11-27 00:58:29,2024-04-16 20:56:34,2022-11-27 02:48:41,2022-11-27 20:34:45,
124,124,3,240,46,240,3,1,1,0,2,2024-09-23 22:09:43,2024-09-14 00:29:15,2024-09-24 00:00:00,2024-09-14 02:28:18,2024-09-14 02:28:18,2024-09-24 00:00:00
125,125,7,312,112,312,5,1,2,0,7,2023-07-24 23:39:45,2023-07-24 13:25:41,2023-07-25 00:00:00,2023-07-12 00:57:44,2023-07-12 05:13:55,2023-07-25 00:00:00
126,126,6,24,47,24,3,2,1,1,7,2023-07-08 22:30:50,2023-07-08 13:14:44,2023-07-09 00:00:00,2023-07-08 01:25:03,2023-07-08 01:25:03,2023-07-09 00:00:00
127,127,7,240,38,240,3,1,1,0,5,2024-10-22 23:17:43,2024-10-22 17:06:18,2024-10-23 00:00:00,2024-10-13 02:08:48,2024-10-13 02:08:48,2024-10-23 00:00:00
128,128,8,192,21,192,2,1,1,2,6,2024-04-11 23:01:29,2024-04-11 18:14:43,2024-04-12 00:00:00,2024-04-04 02:07:24,2024-04-04 02:07:24,2024-04-12 00:00:00
129,129,6,0,12,29592,4,1,1,0,2,2024-11-15 22:43:20,2021-07-02 00:22:19,2022-09-18 18:38:21,2021-07-02 03:06:48,2021-07-02 03:06:48,
130,130,4,24,62,24,2,1,1,2,9,2023-11-03 22:51:13,2023-11-03 19:07:46,2023-11-04 00:00:00,2023-11-03 00:40:05,2023-11-03 00:40:05,2023-11-04 00:00:00
131,131,10,96,132,96,5,1,1,0,6,2024-07-30 22:33:27,2024-07-30 15:24:40,2024-07-31 00:00:00,2024-07-27 03:56:51,2024-07-27 03:56:51,2024-07-31 00:00:00
132,132,3,264,46,264,3,1,1,0,4,2024-07-26 23:05:16,2024-07-26 13:37:35,2024-07-27 00:00:00,2024-07-16 01:32:03,2024-07-16 01:32:03,2024-07-27 00:00:00
133,133,20,240,57,240,18,1,2,0,2,2022-10-26 22:22:00,2022-10-26 21:49:55,2022-10-27 00:00:00,2022-10-17 03:59:17,2022-10-17 16:08:06,2022-10-27 00:00:00
134,134,7,336,45,336,3,2,1,1,4,2023-12-11 23:06:32,2023-12-11 13:34:10,2023-12-12 00:00:00,2023-11-28 01:37:01,2023-11-28 01:37:01,2023-12-12 00:00:00
135,135,9,312,51,312,7,1,2,0,4,2023-07-17 22:13:20,2023-07-05 00:48:30,2023-07-18 00:00:00,2023-07-05 01:30:53,2023-07-05 04:29:54,2023-07-18 00:00:00
136,136,6,144,84,144,2,2,1,0,2,2023-09-09 22:42:39,2023-09-04 00:08:25,2023-09-10 00:00:00,2023-09-04 00:31:57,2023-09-04 00:31:57,2023-09-10 00:00:00
137,137,9,192,36,192,4,1,1,0,5,2019-10-08 23:11:04,2019-10-08 20:59:31,2019-10-09 00:00:00,2019-10-01 02:54:37,2019-10-01 02:54:37,2019-10-09 00:00:00
138,138,10,120,38,120,5,1,1,0,3,2022-10-18 22:13:56,2022-10-14 00:55:08,2022-10-19 00:00:00,2022-10-14 03:56:41,2022-10-14 03:56:41,2022-10-19 00:00:00
139,139,10,264,68,264,4,1,1,0,4,2020-02-11 22:25:23,2020-02-01 00:39:27,2020-02-12 00:00:00,2020-02-01 03:51:07,2020-02-01 03:51:07,2020-02-12 00:00:00
140,140,2,216,80,216,1,1,1,0,3,2019-12-14 23:21:55,2019-12-14 18:27:01,2019-12-15 00:00:00,2019-12-06 00:48:12,2019-12-06 00:48:12,2019-12-15 00:00:00
141,141,7,240,18,240,3,1,2,0,3,2023-01-22 23:18:38,2023-01-22 13:24:38,2023-01-23 00:00:00,2023-01-13 00:28:00,2023-01-13 02:57:53,2023-01-23 00:00:00
